"year","area","housing_units_total","housing_units_rental","housing_units_other","median_rent","population_total","population_poverty_below","population_poverty_above","population_race_white","population_race_black","population_race_latinx","population_race_asian","population_race_other"
"2006-2010 5-year estimates",55,4204.000,1012.000,3192.000,"760.00 - 760.00",10756.000,1410.000,9346.000,4654.000,766.000,5262.000,22.000,52.000
"2006-2010 5-year estimates",56,13167.000,2182.000,10985.000,"688.00 - 1545.00",35450.000,3232.000,32218.000,18903.000,2891.000,12776.000,709.000,171.000
"2006-2010 5-year estimates",57,4142.000,1361.000,2781.000,"679.00 - 1250.00",12959.000,1600.000,11359.000,3258.000,129.000,9495.000,0.000,77.000
"2006-2010 5-year estimates",58,13481.000,6738.000,6743.000,"694.00 - 865.00",44160.000,10490.000,33670.000,4441.000,448.000,36755.000,2325.000,191.000
"2006-2010 5-year estimates",59,5672.000,2314.000,3358.000,"744.00 - 983.00",15626.000,2428.000,13198.000,3297.000,198.000,9484.000,2539.000,108.000
"2006-2010 5-year estimates",60,14079.000,6642.000,7437.000,"745.00 - 1001.00",31595.000,5802.000,25793.000,11238.000,435.000,8299.000,11254.000,369.000
"2006-2010 5-year estimates",61,15883.000,7906.000,7977.000,"614.00 - 1539.00",43582.000,14773.000,28809.000,6005.000,13687.000,22692.000,667.000,531.000
"2006-2010 5-year estimates",62,5320.000,1268.000,4052.000,"843.00 - 1147.00",17907.000,2105.000,15802.000,3693.000,338.000,13438.000,334.000,104.000
"2006-2010 5-year estimates",63,10343.000,4247.000,6096.000,"706.00 - 857.00",38850.000,8057.000,30793.000,2015.000,1855.000,34639.000,140.000,201.000
"2006-2010 5-year estimates",64,9167.000,2207.000,6960.000,"743.00 - 997.00",24065.000,1536.000,22529.000,12400.000,293.000,11069.000,187.000,116.000
"2006-2010 5-year estimates",65,9659.000,2128.000,7531.000,"870.00 - 1706.00",32698.000,6084.000,26614.000,6242.000,1055.000,24920.000,60.000,421.000
"2006-2010 5-year estimates",66,19112.000,9940.000,9172.000,"696.00 - 957.00",54123.000,13388.000,40735.000,2538.000,30030.000,20819.000,264.000,472.000
"2006-2010 5-year estimates",67,14099.000,6336.000,7763.000,"589.00 - 1159.00",38708.000,15992.000,22716.000,283.000,37230.000,700.000,28.000,467.000
"2006-2010 5-year estimates",68,15152.000,8776.000,6376.000,"536.00 - 1071.00",33032.000,14895.000,18137.000,202.000,32546.000,145.000,0.000,139.000
"2006-2010 5-year estimates",69,16749.000,9525.000,7224.000,"407.00 - 933.00",34839.000,11027.000,23812.000,225.000,33845.000,495.000,46.000,228.000
"2006-2010 5-year estimates",70,13567.000,1702.000,11865.000,"879.00 - 1084.00",42382.000,4545.000,37837.000,6849.000,21449.000,13271.000,473.000,340.000
"2006-2010 5-year estimates",71,20665.000,10037.000,10628.000,"698.00 - 998.00",53001.000,14613.000,38388.000,207.000,52044.000,425.000,74.000,251.000
"2006-2010 5-year estimates",72,8496.000,1552.000,6944.000,"183.00 - 1086.00",21556.000,904.000,20652.000,13117.000,7144.000,894.000,84.000,317.000
"2006-2010 5-year estimates",73,10889.000,3206.000,7683.000,"714.00 - 1289.00",27643.000,5334.000,22309.000,132.000,26741.000,301.000,22.000,447.000
"2006-2010 5-year estimates",74,7052.000,871.000,6181.000,"821.00 - 851.00",18497.000,463.000,18034.000,16105.000,997.000,1323.000,8.000,64.000
"2006-2010 5-year estimates",75,9187.000,2119.000,7067.000,"778.00 - 1070.00",21725.000,3058.000,18667.000,6783.000,14145.000,439.000,154.000,204.000
"2006-2010 5-year estimates",76,6481.000,3131.000,3350.000,"770.00 - 1045.00",12046.000,1164.000,10882.000,9399.000,130.000,1416.000,1024.000,77.000
"2006-2010 5-year estimates",77,32603.000,19669.000,12934.000,"588.00 - 1115.00",56605.000,10137.000,46468.000,31539.000,8321.000,8103.000,6918.000,1724.000
"2013-2017 5-year estimates",1,27573.000,20397.000,7176.000,"706.00 - 1003.00",55062.000,14227.000,40835.000,23754.000,14521.000,12072.000,2792.000,1923.000
"2013-2017 5-year estimates",2,28185.000,15136.000,13049.000,"761.00 - 1373.00",76215.000,15770.000,60445.000,32173.000,9201.000,14256.000,17200.000,3385.000
"2013-2017 5-year estimates",3,32599.000,22531.000,10068.000,"672.00 - 1218.00",57973.000,13475.000,44498.000,31602.000,10487.000,8324.000,5812.000,1748.000
"2013-2017 5-year estimates",4,19703.000,11490.000,8213.000,"1054.00 - 1363.00",41715.000,4505.000,37210.000,26782.000,1594.000,6978.000,4650.000,1711.000
"2013-2017 5-year estimates",5,16227.000,7065.000,9162.000,"1232.00 - 1804.00",35789.000,1757.000,34032.000,27568.000,668.000,4192.000,1791.000,1570.000
"2013-2017 5-year estimates",6,57639.000,34722.000,22917.000,"541.00 - 2895.00",100470.000,9262.000,91208.000,79382.000,3475.000,8323.000,6441.000,2849.000
"2013-2017 5-year estimates",7,35447.000,19218.000,16229.000,"852.00 - 1984.00",67710.000,7070.000,60640.000,53512.000,3206.000,4446.000,4653.000,1893.000
"2013-2017 5-year estimates",8,65179.000,34713.000,30466.000,"631.00 - 2060.00",88893.000,9267.000,79626.000,63507.000,8049.000,5305.000,9982.000,2050.000
"2013-2017 5-year estimates",9,4895.000,984.000,3911.000,"955.00 - 1209.00",11597.000,313.000,11283.000,9599.000,192.000,1193.000,310.000,304.000
"2013-2017 5-year estimates",10,15906.000,3506.000,12400.000,"967.00 - 1649.00",37221.000,2238.000,34983.000,30346.000,165.000,4376.000,1234.000,1100.000
"2013-2017 5-year estimates",11,11174.000,3932.000,7242.000,"950.00 - 1131.00",26808.000,2098.000,24710.000,17522.000,236.000,5948.000,2476.000,626.000
"2013-2017 5-year estimates",12,7223.000,816.000,6407.000,"1137.00 - 1594.00",18997.000,838.000,18159.000,13429.000,188.000,2612.000,2390.000,378.000
"2013-2017 5-year estimates",13,7035.000,3564.000,3471.000,"404.00 - 1128.00",18842.000,2698.000,16144.000,9789.000,541.000,3154.000,4703.000,655.000
"2013-2017 5-year estimates",14,18240.000,10259.000,7981.000,"870.00 - 1137.00",51992.000,9655.000,42337.000,15608.000,2401.000,24927.000,7536.000,1520.000
"2013-2017 5-year estimates",15,25024.000,10015.000,15009.000,"844.00 - 1148.00",64313.000,7930.000,56383.000,32329.000,901.000,26216.000,3260.000,1607.000
"2013-2017 5-year estimates",16,22526.000,11420.000,11106.000,"889.00 - 1334.00",54606.000,5950.000,48656.000,22786.000,1479.000,23704.000,4786.000,1851.000
"2013-2017 5-year estimates",17,16624.000,4236.000,12388.000,"904.00 - 1210.00",43689.000,4053.000,39636.000,28165.000,807.000,12245.000,2202.000,270.000
"2013-2017 5-year estimates",18,5040.000,1742.000,3298.000,"781.00 - 923.00",13784.000,1916.000,11868.000,4518.000,518.000,8064.000,444.000,240.000
"2013-2017 5-year estimates",19,24407.000,11248.000,13159.000,"821.00 - 1117.00",79956.000,16055.000,63901.000,10762.000,2103.000,64806.000,1566.000,719.000
"2013-2017 5-year estimates",20,7792.000,4033.000,3759.000,"884.00 - 1012.00",24144.000,5099.000,19045.000,2205.000,753.000,20469.000,440.000,277.000
"2013-2017 5-year estimates",21,15109.000,8751.000,6358.000,"936.00 - 1211.00",37368.000,7326.000,30042.000,12843.000,784.000,21491.000,1537.000,713.000
"2013-2017 5-year estimates",22,32361.000,19158.000,13203.000,"961.00 - 1856.00",73096.000,10985.000,62111.000,33537.000,3646.000,31863.000,2356.000,1694.000
"2013-2017 5-year estimates",23,19627.000,11607.000,8020.000,"828.00 - 1103.00",56427.000,16984.000,39443.000,3480.000,19849.000,31676.000,385.000,1037.000
"2013-2017 5-year estimates",24,40929.000,23925.000,17004.000,"1009.00 - 2097.00",84452.000,10910.000,73542.000,51520.000,5641.000,21149.000,3716.000,2426.000
"2013-2017 5-year estimates",25,37248.000,20648.000,16600.000,"706.00 - 1087.00",95260.000,27805.000,67455.000,4403.000,76989.000,12398.000,483.000,987.000
"2013-2017 5-year estimates",26,7472.000,4293.000,3179.000,"538.00 - 1163.00",17155.000,7517.000,9638.000,384.000,16199.000,356.000,44.000,172.000
"2013-2017 5-year estimates",27,8336.000,5604.000,2732.000,"547.00 - 1096.00",20004.000,8734.000,11270.000,1120.000,17736.000,719.000,145.000,284.000
"2013-2017 5-year estimates",28,31242.000,19691.000,11551.000,"467.00 - 2214.00",62872.000,14812.000,48060.000,26122.000,18151.000,6245.000,10780.000,1574.000
"2013-2017 5-year estimates",29,14721.000,9079.000,5642.000,"667.00 - 1196.00",35947.000,15258.000,20689.000,966.000,31270.000,3140.000,77.000,494.000
"2013-2017 5-year estimates",30,20965.000,12155.000,8810.000,"658.00 - 871.00",74851.000,24767.000,50084.000,2856.000,9101.000,62512.000,142.000,240.000
"2013-2017 5-year estimates",31,13716.000,8764.000,4952.000,"771.00 - 1252.00",32888.000,8007.000,24881.000,5268.000,1288.000,25116.000,803.000,413.000
"2013-2017 5-year estimates",32,23036.000,12360.000,10676.000,"1865.00 - 2291.00",35880.000,4728.000,31152.000,22244.000,3945.000,2471.000,6226.000,994.000
"2013-2017 5-year estimates",33,14772.000,6689.000,8083.000,"710.00 - 1759.00",23620.000,2192.000,21428.000,11063.000,5537.000,1247.000,5098.000,675.000
"2013-2017 5-year estimates",34,5708.000,3440.000,2268.000,"284.00 - 872.00",13396.000,5031.000,8365.000,1703.000,1218.000,526.000,9811.000,138.000
"2013-2017 5-year estimates",35,10786.000,8303.000,2483.000,"282.00 - 2094.00",20781.000,7729.000,13052.000,2297.000,14718.000,661.000,2655.000,450.000
"2013-2017 5-year estimates",36,3207.000,2627.000,580.000,"489.00 - 798.00",6645.000,1973.000,4672.000,172.000,5959.000,324.000,140.000,50.000
"2013-2017 5-year estimates",37,1484.000,792.000,692.000,"419.00 - 719.00",2354.000,746.000,1608.000,34.000,2170.000,150.000,0.000,0.000
"2013-2017 5-year estimates",38,12329.000,8679.000,3650.000,"446.00 - 1090.00",22905.000,7485.000,15420.000,603.000,21138.000,387.000,88.000,689.000
"2013-2017 5-year estimates",39,10427.000,6999.000,3428.000,"693.00 - 1341.00",17189.000,3924.000,13265.000,2913.000,11724.000,397.000,1582.000,573.000
"2013-2017 5-year estimates",40,5676.000,4507.000,1169.000,"779.00 - 1082.00",11502.000,4808.000,6694.000,85.000,10760.000,278.000,14.000,365.000
