"filing_year","area","rental_units_total","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2012,2,,412,2.220,21,3,388,56,332,2400,56,51,124,97,60,37,351,359,29,24,5,215,173,199,160,16,13,15,9,1,4,134,56,198,132,56,171,2,0,27,80,308,75,284,5,24
2012,3,,1051,6.590,45,5,1001,153,848,1926.910,149,210,306,221,115,102,899,875,126,79,47,542,459,490,385,52,74,41,38,11,36,289,148,564,285,147,443,4,1,121,193,808,185,690,8,118
2012,4,,1211,5.920,30,15,1166,120,1046,1554.380,116,321,419,194,116,54,1112,1053,113,78,35,584,582,544,509,40,73,35,43,5,30,367,218,581,361,216,476,6,2,105,219,947,208,845,11,102
2012,5,,1166,5.810,29,9,1128,194,934,1768,189,195,428,180,136,114,1014,1018,110,88,22,733,395,684,334,49,61,43,45,6,16,421,83,624,415,81,522,6,2,102,231,897,225,793,6,104
2012,6,,1093,7.200,41,9,1043,217,826,1575.710,213,160,418,184,68,341,702,961,82,72,10,690,353,661,300,29,53,29,43,0,10,423,48,572,421,47,493,2,1,79,198,845,197,764,1,81
2012,7,,1541,10.310,32,16,1493,262,1231,1702,260,179,708,259,87,251,1242,1375,118,91,27,956,537,910,465,46,72,40,51,6,21,542,109,842,538,106,731,4,3,111,319,1174,317,1058,2,116
2012,8,,954,7.550,34,6,914,188,726,1700,181,147,367,160,59,201,713,855,59,47,12,598,316,578,277,20,39,19,28,1,11,376,59,479,375,59,421,1,0,58,180,734,177,678,3,56
2012,9,,741,7.880,30,8,703,129,574,1068,130,276,167,81,49,199,504,627,76,38,38,442,261,422,205,20,56,17,21,3,35,294,63,346,293,58,276,1,5,70,135,568,134,493,1,75
2012,10,,350,5.060,22,0,328,89,239,1650,87,59,109,51,22,130,198,296,32,28,4,200,128,192,104,8,24,8,20,0,4,122,38,168,122,38,136,0,0,32,72,256,72,224,0,32
2012,11,,277,2.540,8,1,268,49,219,2340.500,50,23,91,72,32,97,171,237,31,24,7,175,93,158,79,17,14,15,9,2,5,103,17,148,102,17,118,1,0,30,58,210,57,180,1,30
2012,12,,272,3.200,25,2,245,70,175,1600,70,31,100,28,16,111,134,225,20,17,3,163,82,155,70,8,12,6,11,2,1,97,14,134,97,14,114,0,0,20,40,205,40,185,0,20
2012,13,,172,4.170,33,3,136,44,92,2450,45,7,39,28,17,33,103,109,27,23,4,81,55,65,44,16,11,15,8,1,3,43,9,84,40,9,60,3,0,24,17,119,16,93,1,26
2012,14,,224,3.880,36,1,187,51,136,1500,50,28,66,34,9,60,127,164,23,18,5,126,61,117,47,9,14,7,11,2,3,72,11,104,70,11,83,2,0,21,28,159,27,137,1,22
2012,15,,346,4.120,33,4,309,90,219,1850,90,45,91,59,24,170,139,280,29,24,5,219,90,202,78,17,12,16,8,1,4,117,17,175,116,17,147,1,0,28,61,248,59,221,2,27
2012,16,,738,7.200,60,5,673,184,489,2000,184,88,206,136,59,271,402,608,65,50,15,447,226,418,190,29,36,26,24,3,12,279,31,363,279,31,298,0,0,65,130,543,128,480,2,63
2012,17,,822,7.430,44,9,769,168,601,1650,166,88,353,123,39,223,546,711,58,48,10,485,284,467,244,18,40,15,33,3,7,280,38,451,277,37,397,3,1,54,159,610,159,552,0,58
2012,18,,202,5.670,19,1,182,47,135,2452.500,48,23,45,40,26,57,125,163,19,16,3,120,62,108,55,12,7,11,5,1,2,62,8,112,61,8,94,1,0,18,43,139,43,120,0,19
2012,19,,144,3.930,5,2,137,29,108,1734.130,29,29,42,26,11,26,111,113,24,23,1,71,66,63,50,8,16,8,15,0,1,45,13,79,44,13,56,1,0,23,18,119,15,98,3,21
2012,20,,1019,6.750,53,11,955,192,763,1800,195,189,303,191,77,231,724,893,62,49,13,665,290,645,248,20,42,17,32,3,10,432,48,475,429,47,417,3,1,58,196,759,194,699,2,60
2012,21,,670,7.390,20,4,646,108,538,1650,106,50,363,88,39,167,479,580,66,51,15,405,241,376,204,29,37,25,26,4,11,252,56,338,252,55,273,0,1,65,126,520,122,458,4,62
2012,22,,254,3.390,34,2,218,76,142,1700,75,25,75,32,11,102,116,193,25,22,3,138,80,123,70,15,10,15,7,0,3,77,5,136,74,4,115,3,1,21,26,192,24,169,2,23
2012,23,,192,4.120,23,3,166,53,113,1927.500,54,16,58,30,8,37,129,141,25,24,1,100,66,89,52,11,14,11,13,0,1,62,19,85,61,18,62,1,1,23,31,135,31,110,0,25
2012,24,,734,6.500,43,4,687,135,552,1850,137,106,256,128,60,224,463,616,71,52,19,459,228,428,188,31,40,27,25,4,15,287,38,362,286,38,292,1,0,70,142,545,136,480,6,65
